,shortcode,date,hashtags,caption,locationid,lat,lng,age,ethnicity,gender,duration,movement,weight,comments,reps
26,BzPyX3PHxEp,2019-06-28 08-28-49,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,Rope hammer curls we call them Now here we are keeping the grip neutral Neither supine nor prone So the target muscles in this are brachialis and brachioradialis Now as brachialis originates from mid lateral humerus as it is having its direction of fibers in a diagonal shape Accordingly we will keep the elbow position lil bit wide as compared to conventional hammer curlswhich will internally rotate the shoulders simultaneously stimulate the brachialis So keep your form tight here dont forget to breathe ✌️✌️fitnessfitfitnessmotivationfitnesslifestyle,UNK,UNK,UNK,0,UNK,UNK,33.603,UNK,-1,UNK,
27,BzJHK7cHYsy,2019-06-25 18-25-51,bodybuilding;fitness;gym;workout;motivation;fit;fitnessmotivation;fitfam;muscle;training;gymlife;fitspo;fitnessmodel;lifestyle;health;bodybuilder;healthy;strong;instafit;fitnessaddict;gymmotivation;instagood;abs;gains;diet;body;shredded;crossfit;exercise;bhfyp,BACK DAY 🦍,221309383,52.4083333333,0.5566666667,0,UNK,UNK,38.6,UNK,-1,UNK,
28,BtLf5utgafK,2019-01-28 13-25-50,,Bent over barbell rows form doesn’t look too great towards to end with heavier weights Guess that means I’ve gone too heavy,UNK,UNK,UNK,0,UNK,UNK,29.67,UNK,-1,UNK,
29,By1_2minxpf,2019-06-18 08-04-34,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,This is pulley upright rows Or pulley shoulder abduction Now this is one of the classic variations used for your medial delts Also hip flexion stops the external rotation of shoulder joint Which keeps your medial delt in contention more than the front Also dont take the momentum to lift the weight Keep your form tight dont forget to breathe ✌️✌️fitnessfitfitnessmotivationfitnesslifestyle,223160498542941,22.30944,73.17999,0,UNK,UNK,32.89,UNK,-1,UNK,
30,BzWr0r9gGsD,2019-07-01 00-46-25,,You’ll search for me inside of everyone you’re with I won’t be found RHSin 🃏,775899462,49.2842,-123.121,0,UNK,UNK,5.7,UNK,-1,UNK,
31,Bzx-BfBAajA,2019-07-11 15-02-32,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;barbellrows;rows;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,A bit of the 45 degree Barbell Rows from Tuesday night too 🔥 Wee rest day yesterday and everyone should be good to go for Deadlifts tonight 💪😬,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,25.999000000000002,UNK,-1,UNK,
32,BlpFnxJhHCL,2018-07-25 05-00-23,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;tricepsworkout;triceps;barbell;bar;dedication;courage;innerbeastclothing;gohardorgohome;wholesalewhey;innerbeastclothing;gymshark,Weighted dips are the best exercise one of the very basic exercise for the development of your chest as well as triceps But here I am very much targeting my triceps It is the best exercise to hit your tricep brachii muscle✌️,1017380593,22.3304806,73.2350082,0,UNK,UNK,15.33,UNK,-1,UNK,
33,B0WtR6vn7Ka,2019-07-25 21-28-17,crossfit;crossgirl;academia;musculação;gym;workout;box;fitness;wod;lpo;funcionaltraining;bodybuilder;womantraining;phelipepersonal;personaltrainervip1;desistirnãoéopção,MELHORE SUA PERFORMANCE FÍSICA 1 ESTABELEÇA UMA META 2 CRIE UMA ROTINA 3 TREINE INTENSO 4 ALIMENTESE BEM 5 DESCANSE 6 FORÇA AERÓBIO E FLEXIBILIDADE 7 APRENDA NOVOS MOVIMENTOS 8 DESAFIESE 9 ALTO VOLUME NOS TREINOS 10 SEJA ACOMPANHADO POR BONS PROFISSIONAIS com,225918895,-8.266138904,-35.9695885835,0,UNK,UNK,59.92100000000001,UNK,-1,UNK,
34,ByLApNgD-AZ,2019-06-01 15-23-53,deadlift;deadlifts;power;powerlifting;powerliftinglife;lifting;gym;gymlife;puregymkirkstall;tattoos;benchpress;squats;fitnessmotivation;fitness;backworkout;backday;pushday;pullday;legday;bulk;bulking,3 rep PR 150kg,1020453330,53.816146771,-1.604297609,0,UNK,UNK,16.08,UNK,-1,UNK,
35,BjIQiXnhGLn,2018-05-23 17-53-49,fitness;behealthy;strongladies;absworkout;befit;stayinshape;personaltrainer;befitbycosta,We get fit4life not for summer😂💪💪💪💪Amazing workout with such amazing ladies💪💪💪,227561342,52.5833,-0.25,0,UNK,UNK,17.0,UNK,-1,UNK,
36,BqXHZKiHDU0,2018-11-19 12-06-25,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,Machine lateral raise is one of the great variation to target your lateral delts Here the one advantage is that this exercise will focus mainly on the lateral aspect only While in dumbell lateral raise you most probably include rear delts And If you want a good burn in your delts then slow down the eccentric part of the exercise which I am doing here And dont forget to breathe ✌️,UNK,UNK,UNK,0,UNK,UNK,43.73,UNK,-1,UNK,
37,BzQf6n9D4N1,2019-06-28 15-04-48,weightloss;fitness;weightlossjourney;healthy;healthylifestyle;health;gym;workout;fit;diet;fitfam;fitnessmotivation;motivation;nutrition;fatloss;weightlossmotivation;weightlosstransformation;cardioguide;lifestyle;food;fitspo;goals;fitnessjourney;eatclean;inspiration;IF;trusttheprocess;curvy;transformationTuesday,Tag a friend 😂❤🔥 ⠀ Follow us for the best daily workout tips 💪 ⠀ 📸 All credits to respective owners via 👥 Tag a friend whod like our profile ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,UNK,UNK,UNK,0,UNK,UNK,23.866,UNK,-1,UNK,
38,BzGsXflgHZB,2019-06-24 19-42-23,diet;fitness;gym;workout;fit;motivation;bodybuilding;healthy;health;lifestyle;training;eatclean;fitspo;fitnessmodel;fitnessaddict;fitfam;cardio;fitnessmotivation;strong;exercise;instagood;abs;weightloss;muscle;getfit;cleaneating;active;gymlife;healthyfood;bhfyp,🔥 So many carbs from yesterday’s binge felt so strong Only thing I hate about lower calories but oh well we wanna see some definition,232911773,52.4474,0.6242,0,UNK,UNK,57.6,UNK,-1,UNK,
39,BnGYSrRgu8u,2018-08-30 10-29-14,motivation;fitnessmotivation;fitspiration;fitspo;transformation;transformationinprogress;progressnotperfection;decidecommitsucceed;fitness;fitnesslife;fitnesslifestyle;fitnessblogger;fitnesscoach;fitnessfam;weights;weightlifting;weightliftingjourney;lifting;liftingheavy;trainhard;instalift;justlift;gainz;shoulderpress;bodymotivation,Legs and shoulders 🤮🤮 building my self back up I want that 100kg OHP I’m at 90 1rm so 10 kg to go,1020453330,53.816146771,-1.604297609,0,UNK,UNK,13.129000000000001,UNK,-1,UNK,
40,Bh9EbCCBA76,2018-04-24 13-05-37,fitness;fitnessjourney;weightloss;healthylifestyle;behealthy;tabataworkout;burpees;weightloss;deadlifts;womenpower;personaltrainer;befitbycosta,Only hard work and determination can make your dreams come true💪💪💪💪If you want to be in the best shape of your life Contact me for Personal Training at 07785611446 Now offering ONLINE PERSONAL TRAINING Weekly support 247 support Nutritional advice Location independent Great value for the money,227561342,52.5833,-0.25,0,UNK,UNK,60.0,UNK,-1,UNK,
41,BzHiCc2A35i,2019-06-25 03-41-12,,Unfortunately my ego got the best of me today I decided I would attempt a new deadlift PB and was so excited that I fast tracked my warm up sets and as a result I injured my back before even getting to my current PB weight😔 Lesson learnt always take your time with warm ups and never rush yourself I’ll be back into deadlifting soon💪,1016517089,-37.9576111,145.0383301,0,UNK,UNK,13.97,UNK,-1,UNK,
42,BCs_tahI5Cz,2016-03-08 19-02-19,fighting;fight;training;trainhard;hardwork;boxinggloves;boxinglife;ametuerboxing;win;knockout;ko;tko,,UNK,UNK,UNK,0,UNK,UNK,13.61,UNK,-1,UNK,
43,BwkpOocFMeS,2019-04-22 21-19-14,,Hit two pb’s today😆 when helps tidy up your lift and you get instant results🤪,270094466482372,52.0003345705,-2.110303677,0,UNK,UNK,15.169,UNK,-1,UNK,
44,Bgcq-JXF4SO,2018-03-18 02-35-49,,🍀It’s a lucky leg day🍀 Used this tri🦖set as a leg day finisher todayand it had me seein rainbows 🌈💰 🍀 Wide stance top of the mornin to ya’s good mornings 😉 lol just unfollow me now 4 sets of 15 reps 🍀 Barbell split squats 4x12 🍀 And lastly wide stance low pulsing squats 4x20,73347620,53.3478,-6.2597,0,UNK,UNK,35.0,UNK,-1,UNK,
45,BwfRVp7Di0n,2019-04-20 19-12-18,weightlossroutines;fitnessmotivation;gymmotivation;gymnastics;gains,Today was the first day in a very long time I didnt want to go to the gym I was sick yesterday and still felt pretty rough today too I went before I could talk myself out of it While I was gassed out I was dripping with sweat so I know I did the right thing by going Now I feel triumphant We did modified burpees toe taps ball slams and even my little man helped me by letting me do toddler weighted squats 🤣🤣🤣 The only workouts you will regret are the ones you miss ⠀ 🏋️‍♀️ Follow us for best fitness posts 🙌🏼 ⠀ 📸 All credits to respective owners 🙋‍♀️ Tag a friend who would enjoy this,UNK,UNK,UNK,0,UNK,UNK,22.08,UNK,-1,UNK,
46,BvTbq1enpiA,2019-03-22 08-29-56,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,Cable bicep curls are a great variation of the dumbell curls Now if your keeping the grip supine only from the beginning only then your targeting your long headNow heres one thing that is when you fully flex your elbow than the position of your elbow will change But you can take it as an advantage as that extra flexion will get you that bicep peak your looking forBut keep your form tight dont forget to breathe 🙌🙌fitnessfitfitnessmotivationfitnesslifestyle,UNK,UNK,UNK,0,UNK,UNK,35.769,UNK,-1,UNK,
47,Bu6iT0YAHGL,2019-03-12 16-21-05,scoresettled;pedrosonfire;bootcamp;glasgow;personaltraining;personaltrainer;training;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;squats;strength;strong;lifting;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,is in the money again 💰🏋️‍♂️ After a big PB on the Trap Bar Deadlifts recently he reaped the rewards of all the weeks building up and peaking the volume towards a Squat PB 📈 150 kg is officially in the bag 🔥💪 Its made even sweeter 🍧 by the fact this is a weight he had a mental block with having tried and failed in the past PS Its also a good few kg over twice bodyweight and he squatted it high bar ⚖️👏,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,5.62,UNK,-1,UNK,
48,BpPYd-UAS2y,2018-10-22 15-26-53,motivation;fitnessmotivation;fitspo;fitspiration;fitness;fitnesslife;fitnesscoach;gymapparel;gymwear;weighttraining;weights;weightlifting;weightliftingjourney;liftingheavy;liftinglarge;liftheavy;weightliftinglife;lifting;justlift;liftlife;instalift;doyouevenlift;guyswholift;beastmode;gym;gymlife;bodybuilding;trainhard,1rm time 150kg so I’m back to my best on all 3 lifts Let’s see where I can go from here,1020453330,53.816146771,-1.604297609,0,UNK,UNK,9.73,UNK,-1,UNK,
49,Bvby03ZlRIm,2019-03-25 14-18-10,,Trying to get my squeeze on with new chest variations Loving these sets,213385402,51.5071148636,-0.1273180524,0,UNK,UNK,21.0,UNK,-1,UNK,
50,BxAOzbdn91m,2019-05-03 14-26-19,personaltraining;nevergiveup;peterborough;fitness;fitnessmotivation;fitfam;fit,Training with Costa The only way to become a Super Hero Well in this case a Super Shirley😂💪👍,800983196703045,52.57434,-0.24614,0,UNK,UNK,25.68,UNK,-1,UNK,
51,BiqZcP6ncYM,2018-05-12 03-35-09,,TG it’s Friday 🏄🏼‍♀️ This week’s been an off one for me Was a bit more tired and stressed than usual but still got all my workouts in knowing that was one thing I could control that would make me feel better Here’s a little ab circuit you can throw in on a cardio or rest day if you’re feeling not so about it yourself either 🤷🏼‍♀️ Finish up the day with a 5 pound burrito bigger than your head and you’re good to go 🌯 well that’s what I did TRACK ID Get Lost Bearson,UNK,UNK,UNK,0,UNK,UNK,27.0,UNK,-1,UNK,
52,BwjZKPSgDqV,2019-04-22 09-41-54,pullups;melbournegym;melbournefitness;bodybuilder;fitness;gainz;gym;workout;backworkout,Despite putting on nearly 10kg my back is still surprisingly lean Hoping to put on a lot more size over the next 6 months💪,1016517089,-37.9576111,145.0383301,0,UNK,UNK,18.69,UNK,-1,UNK,
53,BoWOggnAnir,2018-09-30 10-50-54,peterborough;personaltrainer;healthylifestyle;befitbycosta;hiitworkout;pushups;strongwomen;nevergiveup,Sunday morning sweat sesh 💪💪💪peterborough,227561342,52.5833,-0.25,0,UNK,UNK,19.83,UNK,-1,UNK,
54,B0TOHe0D60x,2019-07-24 13-00-06,,Trying to grow them shoulders one of the harder muscles to grow and iv been neglecting them Better late then never,287379497942283,41.1520172829,27.80949255,0,UNK,UNK,40.6,UNK,-1,UNK,
55,BvwNkC-jaGl,2019-04-02 12-34-48,bulk;bulkseason;cutting;summershredding;gym;pushday;benchpress;lifting;bulking;powerlifting;bodytransformation;bodybuilding;gymrat;personaltrainer;puregym;puregymkirkstall;squats;deadlifts;summerbody;summer,165kg bench press PR narrowly missed the 170kg thanks burley for the spot and the killer program,1020453330,53.816146771,-1.604297609,0,UNK,UNK,16.03,UNK,-1,UNK,
56,BjZaCtsACuy,2018-05-30 09-45-35,mealprep;bodybuilding;chef;knifeskills;chopchop,Back to meal prep time Funs over I’ve eaten so much shit it’s been glorious though 😂😂😂🙊,UNK,UNK,UNK,0,UNK,UNK,21.0,UNK,-1,UNK,
57,Bluv7dTHjdi,2018-07-27 09-44-56,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;deadlift;trapbardeadlift;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,The evening crew getting in on the Trap Bar Deadlift action yesterday 🏋️‍♀️🏋️ Overall it was one of the toughest sessions yet but everyone smashed it 💪🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,34.07,UNK,-1,UNK,
58,Brhpg3vDSX1,2018-12-18 10-44-31,motivation;fitnessmotivation;fitspo;fitspiration;fitness;fitnesslife;fitnesscoach;gymapparel;gymwear;weighttraining;weights;weightlifting;weightliftingjourney;liftingheavy;liftinglarge;liftheavy;weightliftinglife;lifting;justlift;liftlife;instalift;doyouevenlift;guyswholift;beastmode;gym;gymlife;bodybuilding;trainhard,1rm FAIL Oh well I will have you soon 155kg Almost pulled my hamstring 😂😂,1020453330,53.816146771,-1.604297609,0,UNK,UNK,11.9,UNK,-1,UNK,
